Country,OrganizationName,Years,Number of Employees
Australia,COSETTE,7,1-50
Australia,LoveONN,5,1-50
Australia,GS Diamonds,36,1-50
Australia,Essential Beauty,32,101-250
Australia,Pallion,71,251-500
Australia,Your Diamonds,1,1-50
Australia,Ally Fashion,21,501-1000
Australia,Michael Hill Jewelers,43,5001-10000
Australia,Millers,29,1-50
Australia,By Charlotte,10,1-50
Australia,Gekko Systems,26,51-100
Australia,Peter W Beck,46,51-100
Australia,Temple of the Sun,8,1-50
Australia,Francesca,11,51-100
Australia,Vimwood,33,51-100
Australia,Dinosaur Designs,36,1-50
Australia,Insurance 4 That,97,10001+
Australia,Paspaley,87,101-250
Australia,Gembridge,3,1-50
Australia,Fabricoz,5,1-50
Australia,Australian Jewellers Supplies,54,1-50
Australia,Goldmark Jewellers,43,101-250
Australia,Dracakis Jewellers,42,1-50
Australia,Michael Hill,43,1001-5000
Australia,Royal Essence,6,1-50
Australia,Reliquia Jewellery,7,1001-5000
Australia,Nina's Jewellery,57,1-50
Australia,Kennedy,46,101-250
Australia,Prouds the Jewellers,119,5001-10000
Australia,Australian Bullion Company,50,1-50
Australia,Mode Sportif,9,1-50
Australia,Pastiche,39,1-50
Australia,Paris Mode,36,1-50
Australia,Mimco,26,51-100
Australia,Argyle Diamond Investments,90,51-100
Australia,Australian Diamond Company,38,1-50
Australia,Etrnl Rings,5,1-50
Australia,Canturi,36,1-50
Australia,Mansions,21,101-250
Australia,Becker Minty,15,1-50
Australia,Hoskings Jewellers,77,251-500
Australia,klaylife,8,1-50
Australia,My Jewellery Shop,12,1-50
Australia,Atlas Pearls,35,501-1000
Australia,Georgini,18,1-50
Australia,Thepeachbox,8,1-50
Australia,Q Report,17,1-50
Australia,Riiko Ceramics,14,1-50
Australia,Pigeonhole,15,1-50
Australia,Ortak Jewelry,44,1-50
Australia,Designa Accessories,38,101-250
Australia,Egetal,24,1-50
Australia,Monreal,20,1-50
Australia,Avstev Group,23,1-50
Australia,Rockstar Memoirs,24,1-50
Australia,Charles Rose,99,1-50
Australia,HOUSE OF VEIL,6,1-50
South Africa,bidorbuy,23,1-50
South Africa,TFG ,98,10001+
South Africa,Arthur Kaplan Jewellers,49,10001+
South Africa,NWJ Fine Jewellery,39,101-250
South Africa,Bassano Gioielli,15,1-50
South Africa,Oro Africa,77,1-50
South Africa,Trans Hex,57,251-500
South Africa,Killer Deals,17,1-50
South Africa,CHD,26,1-50
South Africa,Fischer's Jewellers,160,101-250
South Africa,Metal Concentrators,33,32
South Africa,Louie Daniele Diamond Co,24,1-50
South Africa,Gecko,31,1-50
South Africa,Phoenix Manufacturing Jewellers,26,101-250
South Africa,Cherry Design Jewellery,43,1-50
South Africa,Shimansky,31,51-100
South Africa,Charles Greig,123,1-50
South Africa,Italian Wholesale Jewellers,15,10001+
South Africa,Erikson's Diamond Cutting and Manufacturing Jewellers,42,101-250
South Africa,Grand Diamonds,22,1-50
New Zealand,Pascoes The Jewellers,116,101-250
New Zealand,Goldmark NZ,15,1-50
New Zealand,Stewart Dawsons,151,1-50
New Zealand,Ruby,20,51-100
New Zealand,Karen Walker,33,1-50
HongKong,The Future Rocks,3,1-50
HongKong,Chow Tai Fook,93,10001+
HongKong,John Hardy,47,1001-5000
HongKong,KGK Group,117,10001+
HongKong,Emperor Group,80,5001-10000
HongKong,Guiltless,8,1-50
HongKong,Poly Auction,10,51-100
HongKong,SourcingMap,16,1-50
HongKong,Chow Sang Sang,88,101-250
HongKong,Soufeel Charms,13,1-50
HongKong,Nyrelle,2,1-50
HongKong,MaBelle Jewellery,29,1-50
HongKong,Emperor Watch & Jewellery,80,1001-5000
HongKong,Platinum Guild International,47,101-250
HongKong,PUYI Optical,21,101-250
HongKong,Prince Jewellery & Watch,38,1-50
HongKong,Siu Group,51,101-250
HongKong,Luk Fook Holdings,31,5001-10000
HongKong,M&B Private Jewelers,10,1-50
HongKong,Citychamp Watch & Jewellery Group,31,1001-5000
HongKong,Tse Sui Luen Jewellery,51,1001-5000
HongKong,Oriental Watch Holdings,61,501-1000
HongKong,WAXING POETIC,21,1-50
HongKong,My Jewelry,28,1-50
HongKong,Kunming Diamonds,35,1-50
HongKong,Christelle,53,1-50
HongKong,ACH,25,1-50
HongKong,Chong Fai Jewellery Group,25,101-250
HongKong,China Fortune Investments Holding,23,1-50
HongKong,China Brilliant Global,33,101-250
HongKong,Larry Jewelry International,55,251-500
HongKong,Artini Holdings,30,51-100
HongKong,King Fook Holdings,73,101-250
South Korea,STARLUXE,21,501-1000
South Korea,J.ESTINA,34,501-1000
South Korea,METROCITY,25,251-500
South Korea,Amadas ,8,51-100
South Korea,KINT,7,1-50
